tweet_id,message,historical_reply,suggested_intent,suggested_decision,human_intent,human_decision
698,@AppleSupport  https://t.co/NV0yucs0lB,@115854 We're here for you. Which version of the iOS are you running? Check from Settings &gt; General &gt; About.,general_issue,ESCALATE,battery_issue,AUTO-HANDLE
697,@AppleSupport The newest update. I️ made sure to download it yesterday.,@115854 Lets take a closer look into this issue. Select the following link to join us in a DM and we'll go from there. https://t.co/GDrqU22YpT,update_problem,AUTO-HANDLE,update_problem,AUTO-HANDLE
702,@AppleSupport Tried resetting my settings .. restarting my phone .. all that,@115855 Let's go to DM for the next steps. DM us here: https://t.co/GDrqU22YpT,app_feature_problem,AUTO-HANDLE,app_feature_problem,AUTO-HANDLE
704,@AppleSupport This is what it looks like https://t.co/XCQU2l4xUB,@115855 Any steps tried since it started last night?,general_issue,ESCALATE,general_issue,ESCALATE
707,@AppleSupport I️ have an iPhone 7 Plus and yes I️ do,@115855 That's great it has iOS 11.1 as we can rule out being outdated. Any steps tried since this started? Do you recall when it started?,general_issue,ESCALATE,general_issue,ESCALATE
709,@AppleSupport I️ need answers because it’s annoying 🙃,@115855 We'd like to look into this with you. Which model do you have and is iOS 11.1 installed? Any steps tried so far?,general_issue,ESCALATE,general_issue,ESCALATE
714,"Hey @AppleSupport and anyone else who upgraded to ios11.1, are y’all having issues with capital “I️” in the Mail app? As it puts in “A”?","@115856 Hey, let's work together to figure out what's going on. Meet us in DM and we'll continue from there. https://t.co/GDrqU22YpT",update_problem,AUTO-HANDLE,update_problem,AUTO-HANDLE
717,@AppleSupport This is what is happening... https://t.co/X3SZSJXfAT,@115857 We'd like to investigate further with you. Send us a DM and we can troubleshoot more from there. https://t.co/GDrqU22YpT,general_issue,ESCALATE,general_issue,ESCALATE
719,Tf is wrong with my keyboard @115858,"@115857 Fill us in on what is happening, then we can help out from there.",device_hardware_issue,AUTO-HANDLE,device_hardware_issue,AUTO-HANDLE
721,@AppleSupport are the call centres closed for the night?,@115859 We've received your DM and will continue there.,general_issue,ESCALATE,general_issue,ESCALATE
723,@115858 @AppleSupport hello are all the lines closed for tonight #help,@115859 What's going on? We're hapy to help if we can. https://t.co/GDrqU22YpT,general_issue,ESCALATE,general_issue,ESCALATE
725,@115861 @115862 @AppleSupport I️ upgraded. I️t didn’t work.,"@115860 Reach out to us via DM, and we can take a look at this with you. https://t.co/GDrqU22YpT",app_feature_problem,AUTO-HANDLE,app_feature_problem,AUTO-HANDLE
730,"Hello, internet. Can someone explain why this symbol keeps appearing on my phone and when I️ try to type the letter I️? Also @AppleSupport https://t.co/QKwvTLtiN7","@115861 You're in the right place; we'll do all we can to help. To start, let us know what iOS version is installed via DM: https://t.co/GDrqU22YpT",app_feature_problem,AUTO-HANDLE,app_feature_problem,AUTO-HANDLE
733,@AppleSupport I’ve got a screenshot saying my #iPhoneX is reserved for the 3rd then an email saying it’s the 18th... what happened?,@115863 Go ahead and send us a DM please. Let us know the country you're in.,general_issue,ESCALATE,general_issue,ESCALATE
736,Thank you @AppleSupport I updated my phone and now it is even slower and barely works. Thank you for ruining my phone.😤,"@115864 We'd like to help, but we'll need more details. What's happening on your device and which model is it? Do you have iOS 11.1?",update_problem,AUTO-HANDLE,update_problem,AUTO-HANDLE
735,@AppleSupport I have the iPhone 6s Plus and just did the most recent update.,"@115864 To make sure, is iOS 11.1 installed on it currently? Also, any steps tried so far? DM us here: https://t.co/GDrqU22YpT",update_problem,AUTO-HANDLE,update_problem,AUTO-HANDLE
740,@AppleSupport iPhone 7 Plus 😊,@115865 Thanks! Which iOS version is currently showing in Settings &gt; General &gt; About?,device_hardware_issue,ESCALATE,device_hardware_issue,ESCALATE
739,@AppleSupport iOS 11.0.3,"@115865 Let's check Settings &gt; General &gt; Software Update. iOS 11.1 was released earlier today. If you see it, please backup &amp; update.",update_problem,ESCALATE,update_problem,ESCALATE
742,@AppleSupport Okey. Thank you! 🤗,"@115865 Our pleasure. If you're still having issues after a back up and update, contact us back. We're happy to help.",general_issue,ESCALATE,general_issue,ESCALATE
745,@AppleSupport I need the software update urgently. The battery lasts literally half a day 🙍🏼🙁@AppleSupport,@115865 Hi there! What type of device are we working with?,battery_issue,AUTO-HANDLE,battery_issue,AUTO-HANDLE
747,Hola @AppleSupport necesito urgente la actualización de software. La batería me dura literal medio día 🙍🏼🙇🏼‍♀️,@115865 We offer support via Twitter in English. Get help in Spanish here: https://t.co/IBIY3vMgPj or join https://t.co/OczyRx7IOs,general_issue,ESCALATE,general_issue,ESCALATE
749,@AppleSupport Hi! What is going on? Has Youtube lost it? What can be done about it? Thanks for the support! https://t.co/T8ZZp4IH6t,@115866 We want to help! DM us and let us know more about the issues you are having. https://t.co/GDrqU22YpT,app_feature_problem,AUTO-HANDLE,app_feature_problem,AUTO-HANDLE
751,@AppleSupport ? hello,@115867 We'd like to get you speaking to our experts here: https://t.co/IBIY3vMgPj,general_issue,ESCALATE,general_issue,ESCALATE
754,"@AppleSupport Yes it did, 11.0.3","@115868 We've just released iOS 11.1. We suggest backing up &amp; updating. Then, test the issue again. Here's how: https://t.co/80YRnjDFDk",general_issue,ESCALATE,general_issue,ESCALATE
756,MY HOME BUTTON DOESN’T WORK #IOS11 @AppleSupport,@115868 Let us help with your Home button. Did this issue start right after iOS 11? Which version of iOS 11 are you running?,device_hardware_issue,AUTO-HANDLE,device_hardware_issue,AUTO-HANDLE
758,Hey @115858! Last time I downloaded an update my freaking phone gave me hell. Any recommendations?,@115869 We're here to help. Meet us in DM and we can check on available options. https://t.co/GDrqU22YpT,update_problem,AUTO-HANDLE,update_problem,AUTO-HANDLE
760,@AppleSupport I can not find an option to get it there. It was just always there when playing.,@115870 DM us the specific iOS version you are running currently and we'll continue there. https://t.co/GDrqU22YpT,general_issue,ESCALATE,general_issue,ESCALATE
763,@AppleSupport The app is still there. But no longer able to control it from the lockscreen.,"@115870 Just to confirm, this is only happening with Spotify, correct?",app_feature_problem,AUTO-HANDLE,app_feature_problem,AUTO-HANDLE
765,After update #ios1103 no spotify on my lock screen?@AppleSupport,@115870 Thanks for reaching out to us. Are you experiencing the missing app after restating your device?,update_problem,AUTO-HANDLE,update_problem,AUTO-HANDLE
767,I just need @115858 to do something about the battery life because it sucks ass,@115871 We want to help you get your battery life back on track. Please DM and we'll look at it together. https://t.co/GDrqU22YpT,battery_issue,AUTO-HANDLE,battery_issue,AUTO-HANDLE
1755,"Why does my I️ not work ?! 
@115858 please fix this!!!",@116097 We'd like to look into this with you. Please DM us your current iOS version and your iPhone model. https://t.co/GDrqU22YpT,app_feature_problem,AUTO-HANDLE,app_feature_problem,AUTO-HANDLE
